Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1090006,-,-,-,36.01,-78.94,-5,120,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),
2020,1,1,0,30,0,0,0,0,0,0,0,1.8,166.82,0,0.12,0.4,0.7000000000000001,286,92.88,2.8000000000000003,997,0.0000,N/A
2020,1,1,1,30,0,0,0,0,0,0,0,1.4000000000000001,159.89000000000001,0,0.12,0.30000000000000004,0.7000000000000001,284,94.43,2.2,997,0.0000,N/A
2020,1,1,2,30,0,0,0,0,0,0,0,1.1,148.88,0,0.12,0.30000000000000004,0.7000000000000001,279,95.82000000000001,1.7000000000000002,997,0.0000,N/A
2020,1,1,3,30,0,0,0,0,0,0,0,0.8,136.93,0,0.12,0.30000000000000004,0.8,276,96.61,1.3,997,0.0000,N/A
2020,1,1,4,30,0,0,0,0,0,0,0,0.6000000000000001,124.81,0,0.12,0.30000000000000004,0.8,273,97.76,0.9,997,0.0000,N/A
2020,1,1,5,30,0,0,0,0,0,0,0,0.4,112.83,0,0.12,0.30000000000000004,0.8,273,98.8,0.6000000000000001,998,0.0000,N/A
2020,1,1,6,30,0,0,0,0,0,0,0,0.30000000000000004,101.2,0,0.12,0.30000000000000004,0.9,274,98.7,0.5,998,0.0000,N/A
2020,1,1,7,30,9,99,10,9,99,10,0,0.30000000000000004,89.66,0,0.12,0.4,0.9,274,90.32000000000001,1.7000000000000002,999,0.0000,N/A
2020,1,1,8,30,44,578,145,43,602,148,0,0.7000000000000001,79.96000000000001,7,0.12,0.5,0.9,277,76.4,4.5,1000,6.9135,N/A
2020,1,1,9,30,59,779,310,57,791,312,0,1.2000000000000002,71.22,0,0.12,0.7000000000000001,0.9,285,64.01,7.6000000000000005,1000,15.6951,N/A
2020,1,1,10,30,65,878,445,65,878,445,0,0.9,64.37,0,0.12,0.8,0.9,290,54.32,9.700000000000001,1000,23.8450,N/A
2020,1,1,11,30,81,862,511,69,916,525,0,0.9,60.11,0,0.12,0.8,0.9,288,50.910000000000004,10.700000000000001,999,28.1538,N/A
2020,1,1,12,30,193,408,403,71,920,544,7,1.2000000000000002,59.03,0,0.12,0.8,0.9,286,49.910000000000004,11.3,998,22.3417,N/A
2020,1,1,13,30,124,663,442,71,898,502,7,1.5,61.300000000000004,0,0.12,0.7000000000000001,0.9,285,50.42,11.5,998,24.1771,N/A
2020,1,1,14,30,82,737,375,64,850,402,0,1.9000000000000001,66.57000000000001,0,0.12,0.6000000000000001,0.9,284,52.730000000000004,11.200000000000001,998,19.7629,N/A
2020,1,1,15,30,79,494,214,53,746,256,7,2.6,74.18,29,0.12,0.4,0.9,282,62.300000000000004,9.4,999,10.5415,N/A
2020,1,1,16,30,33,501,90,33,501,90,0,4.6000000000000005,83.43,0,0.12,0.30000000000000004,0.9,275,85.83,6.800000000000001,999,0.0000,N/A
2020,1,1,17,30,0,0,0,0,0,0,0,3.8000000000000003,94.06,0,0.12,0.30000000000000004,0.8,266,89.32000000000001,5.4,1000,0.0000,N/A
2020,1,1,18,30,0,0,0,0,0,0,0,3.5,105.33,0,0.12,0.30000000000000004,0.8,261,89.69,5.1000000000000005,1000,0.0000,N/A
2020,1,1,19,30,0,0,0,0,0,0,0,3.1,117.11,0,0.12,0.30000000000000004,0.8,253,92.86,4.2,1001,0.0000,N/A
2020,1,1,20,30,0,0,0,0,0,0,7,2.8000000000000003,129.16,0,0.12,0.30000000000000004,0.8,249,94.19,3.6,1001,0.0000,N/A
2020,1,1,21,30,0,0,0,0,0,0,0,2.4000000000000004,141.26,0,0.12,0.30000000000000004,0.8,247,93.85000000000001,3.3000000000000003,1001,0.0000,N/A
2020,1,1,22,30,0,0,0,0,0,0,7,2.4000000000000004,153.01,0,0.12,0.30000000000000004,0.8,247,94.61,3.2,1002,0.0000,N/A
2020,1,1,23,30,0,0,0,0,0,0,7,2.3000000000000003,163.14000000000001,0,0.12,0.30000000000000004,0.8,246,94.58,3.1,1002,0.0000,N/A
2020,1,2,0,30,0,0,0,0,0,0,7,2.4000000000000004,166.76,0,0.12,0.30000000000000004,0.9,244,94.26,3.2,1002,0.0000,N/A
2020,1,2,1,30,0,0,0,0,0,0,4,2.4000000000000004,159.91,0,0.12,0.30000000000000004,0.9,243,95.22,3.1,1002,0.0000,N/A
