Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1090006,-,-,-,36.01,-78.94,-5,120,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2018,1,1,0,0,0,0,0,0,0,0,4,-15.700000000000001,166.36,0,0.11,0.5,0.5,26,47.32,-6.300000000000001,1014,0.0000,0.0000,N/A
2018,1,1,0,30,0,0,0,0,0,0,4,-15.700000000000001,166.79,0,0.11,0.5,0.5,26,48.410000000000004,-6.6000000000000005,1014,0.0000,0.0000,N/A
2018,1,1,1,0,0,0,0,0,0,0,4,-15.5,164.28,0,0.11,0.5,0.5,25,49.910000000000004,-6.800000000000001,1014,0.0000,0.0000,N/A
2018,1,1,1,30,0,0,0,0,0,0,4,-15.5,159.9,0,0.11,0.5,0.5,25,50.74,-7,1015,0.0000,0.0000,N/A
2018,1,1,2,0,0,0,0,0,0,0,7,-15.4,154.62,0,0.11,0.5,0.4,25,52.050000000000004,-7.2,1015,0.0000,0.0000,N/A
2018,1,1,2,30,0,0,0,0,0,0,0,-15.4,148.91,0,0.11,0.5,0.4,23,52.86,-7.4,1015,0.0000,0.0000,N/A
2018,1,1,3,0,0,0,0,0,0,0,0,-15.3,142.98,0,0.11,0.5,0.4,22,53.84,-7.6000000000000005,1015,0.0000,0.0000,N/A
2018,1,1,3,30,0,0,0,0,0,0,0,-15.3,136.96,0,0.11,0.5,0.4,20,55.11,-7.9,1015,0.0000,0.0000,N/A
2018,1,1,4,0,0,0,0,0,0,0,0,-15.3,130.9,0,0.11,0.4,0.30000000000000004,18,56.1,-8.1,1016,0.0000,0.0000,N/A
2018,1,1,4,30,0,0,0,0,0,0,0,-15.3,124.84,0,0.11,0.4,0.30000000000000004,14,57.42,-8.4,1016,0.0000,0.0000,N/A
2018,1,1,5,0,0,0,0,0,0,0,0,-15.200000000000001,118.82000000000001,0,0.11,0.4,0.30000000000000004,11,59.43,-8.700000000000001,1016,0.0000,0.0000,N/A
2018,1,1,5,30,0,0,0,0,0,0,0,-15.200000000000001,112.85000000000001,0,0.11,0.4,0.30000000000000004,7,60.84,-9,1016,0.0000,0.0000,N/A
2018,1,1,6,0,0,0,0,0,0,0,0,-14.9,106.98,0,0.11,0.30000000000000004,0.30000000000000004,4,63.690000000000005,-9.3,1017,0.0000,0.0000,N/A
2018,1,1,6,30,0,0,0,0,0,0,0,-14.9,101.23,0,0.11,0.30000000000000004,0.30000000000000004,180,65.21000000000001,-9.600000000000001,1017,0.0000,0.0000,N/A
2018,1,1,7,0,0,0,0,0,0,0,0,-14.600000000000001,95.62,0,0.11,0.30000000000000004,0.30000000000000004,356,67.83,-9.8,1017,0.0000,0.0000,N/A
2018,1,1,7,30,10,118,11,10,118,11,0,-14.600000000000001,89.64,0,0.11,0.4,0.30000000000000004,354,64.77,-9.200000000000001,1018,0.0000,0.0000,N/A
2018,1,1,8,0,29,442,69,29,472,72,0,-15.100000000000001,84.81,7,0.11,0.5,0.30000000000000004,352,58.9,-8.5,1018,0.0000,0.0000,N/A
2018,1,1,8,30,42,659,157,42,659,157,0,-15.100000000000001,79.96000000000001,0,0.11,0.6000000000000001,0.30000000000000004,179,54.5,-7.5,1018,7.4856,5.7048,N/A
2018,1,1,9,0,51,770,245,51,770,245,0,-16.7,75.39,0,0.11,0.8,0.30000000000000004,5,43.72,-6.4,1019,11.9404,9.1697,N/A
2018,1,1,9,30,58,841,329,58,841,329,0,-16.7,71.21000000000001,0,0.11,0.8,0.30000000000000004,5,41.14,-5.6000000000000005,1019,16.6586,12.8797,N/A
2018,1,1,10,0,63,901,408,63,901,408,0,-17.6,67.5,0,0.11,0.8,0.2,4,36.06,-4.800000000000001,1019,21.3412,16.5733,N/A
2018,1,1,10,30,66,936,471,66,936,471,0,-17.6,64.35,0,0.11,0.8,0.2,182,34.730000000000004,-4.3,1019,25.2418,19.6578,N/A
2018,1,1,11,0,71,948,518,69,959,521,0,-18.3,61.85,0,0.11,0.8,0.2,359,31.3,-3.7,1018,28.2359,22.0287,N/A
2018,1,1,11,30,75,946,547,70,972,555,0,-18.3,60.08,0,0.11,0.8,0.2,356,30.38,-3.3000000000000003,1018,30.1426,23.5413,N/A
2018,1,1,12,0,81,922,554,71,979,574,0,-18.900000000000002,59.11,0,0.11,0.8,0.2,352,27.95,-2.9000000000000004,1017,30.6992,23.9887,N/A
2018,1,1,12,30,71,979,576,71,979,576,0,-18.900000000000002,58.980000000000004,0,0.11,0.8,0.2,348,27.54,-2.7,1017,31.9415,24.9612,N/A
2018,1,1,13,0,71,973,562,71,973,562,0,-19.1,59.7,0,0.11,0.8,0.2,345,26.69,-2.5,1017,31.0379,24.2457,N/A
2018,1,1,13,30,70,960,532,70,960,532,0,-19.1,61.24,0,0.11,0.8,0.2,342,26.47,-2.4000000000000004,1016,29.1109,22.7200,N/A
2018,1,1,14,0,68,939,487,68,939,487,0,-19,63.53,0,0.11,0.8,0.2,340,26.76,-2.4000000000000004,1016,26.2507,20.4563,N/A
2018,1,1,14,30,66,908,428,66,908,428,0,-19,66.5,0,0.11,0.8,0.2,338,27.16,-2.6,1016,22.5685,17.5435,N/A
2018,1,1,15,0,62,863,356,62,863,356,0,-18.7,70.06,0,0.11,0.8,0.2,337,28.34,-2.8000000000000003,1016,18.2152,14.1047,N/A
2018,1,1,15,30,56,798,274,56,798,274,0,-18.7,74.11,0,0.11,0.7000000000000001,0.2,336,29.44,-3.3000000000000003,1017,13.5057,10.3953,N/A
2018,1,1,16,0,47,699,186,47,699,186,0,-17.6,78.57000000000001,0,0.11,0.5,0.2,335,33.55,-3.8000000000000003,1017,8.8806,6.7808,N/A
2018,1,1,16,30,35,538,97,35,538,97,0,-17.6,83.36,0,0.11,0.4,0.2,335,37.28,-5.2,1017,0.0000,0.0000,N/A
2018,1,1,17,0,16,197,22,16,197,22,0,-14.5,88.27,0,0.11,0.30000000000000004,0.2,334,52.89,-6.5,1017,0.0000,0.0000,N/A
2018,1,1,17,30,0,0,0,0,0,0,0,-14.5,93.99,0,0.11,0.30000000000000004,0.2,335,54.120000000000005,-6.800000000000001,1017,0.0000,0.0000,N/A
2018,1,1,18,0,0,0,0,0,0,0,0,-14.8,99.54,0,0.11,0.4,0.2,335,54.19,-7.1000000000000005,1018,0.0000,0.0000,N/A
2018,1,1,18,30,0,0,0,0,0,0,0,-14.8,105.26,0,0.11,0.4,0.2,335,54.19,-7.1000000000000005,1018,0.0000,0.0000,N/A
2018,1,1,19,0,0,0,0,0,0,0,0,-15.3,111.10000000000001,0,0.11,0.4,0.2,335,52.36,-7.2,1018,0.0000,0.0000,N/A
2018,1,1,19,30,0,0,0,0,0,0,0,-15.3,117.04,0,0.11,0.5,0.2,334,52.82,-7.300000000000001,1019,0.0000,0.0000,N/A
2018,1,1,20,0,0,0,0,0,0,0,0,-15.700000000000001,123.04,0,0.11,0.5,0.2,332,52,-7.5,1019,0.0000,0.0000,N/A
2018,1,1,20,30,0,0,0,0,0,0,0,-15.700000000000001,129.09,0,0.11,0.5,0.2,331,53.63,-7.9,1019,0.0000,0.0000,N/A
2018,1,1,21,0,0,0,0,0,0,0,0,-15.600000000000001,135.16,0,0.11,0.4,0.2,330,55.7,-8.3,1019,0.0000,0.0000,N/A
2018,1,1,21,30,0,0,0,0,0,0,0,-15.600000000000001,141.20000000000002,0,0.11,0.4,0.2,330,57.47,-8.700000000000001,1019,0.0000,0.0000,N/A
2018,1,1,22,0,0,0,0,0,0,0,0,-15.4,147.15,0,0.11,0.4,0.2,330,60.120000000000005,-9.1,1019,0.0000,0.0000,N/A
2018,1,1,22,30,0,0,0,0,0,0,0,-15.4,152.94,0,0.11,0.30000000000000004,0.2,332,61.550000000000004,-9.4,1019,0.0000,0.0000,N/A
2018,1,1,23,0,0,0,0,0,0,0,0,-15.4,158.37,0,0.11,0.30000000000000004,0.2,334,63.79,-9.8,1019,0.0000,0.0000,N/A
2018,1,1,23,30,0,0,0,0,0,0,0,-15.4,163.07,0,0.11,0.30000000000000004,0.2,336,64.8,-10,1019,0.0000,0.0000,N/A
2018,1,2,0,0,0,0,0,0,0,0,0,-15.5,166.24,0,0.11,0.30000000000000004,0.2,338,65.22,-10.200000000000001,1019,0.0000,0.0000,N/A
2018,1,2,0,30,0,0,0,0,0,0,0,-15.5,166.72,0,0.11,0.30000000000000004,0.2,339,66.26,-10.4,1019,0.0000,0.0000,N/A
2018,1,2,1,0,0,0,0,0,0,0,0,-15.600000000000001,164.26,0,0.11,0.30000000000000004,0.2,340,66.53,-10.600000000000001,1019,0.0000,0.0000,N/A
2018,1,2,1,30,0,0,0,0,0,0,0,-15.600000000000001,159.92000000000002,0,0.11,0.30000000000000004,0.2,341,68.2,-10.9,1020,0.0000,0.0000,N/A
2018,1,2,2,0,0,0,0,0,0,0,0,-15.8,154.65,0,0.11,0.30000000000000004,0.2,341,68.46000000000001,-11.100000000000001,1020,0.0000,0.0000,N/A
